item_id,last_time,last_crack,mean_crack,max_crack,std_crack,slope_global,slope_last3,slope_last5,curvature,crack_time_ratio,rul_months,fail_in_4m
0,3,0.0316843691953851,0.045743556761529455,0.0812808336492818,0.028507161891669186,0.009216247110553346,-0.015621716020919716,,-0.02636076068172373,0.0105614563984617,2.0,1
1,2,0.0161555048185537,0.019700028789676634,0.0378368258825772,0.013594625087774771,0.00552387457532735,0.00552387457532735,,-0.027205195639350865,0.00807775240927685,1.0,1
3,3,0.1028604500380809,0.022322226149065053,0.1028604500380809,0.05495745505281903,0.036841674351443296,0.07666025698062455,,0.032547147495516085,0.0342868166793603,2.0,1
4,3,-0.0084045768845339,0.014169741673539977,0.0341796742278911,0.015140867721615962,-0.005556142910076325,-0.011248347286605804,,-0.009966154284744443,-0.0028015256281779667,2.0,1
5,38,0.9178309046243164,0.2648403846586348,0.9178309046243164,0.29424837425512534,0.02415280247131003,0.07477982235718805,0.025085701291211283,0.000906442166918337,0.024153444858534642,38.0,0
6,36,0.9342331450691154,0.37077844117197656,0.9342331450691154,0.3004465044408987,0.026971447467842757,0.05604165743220996,0.018951422891970254,0.0005547957774714048,0.025950920696364316,36.0,0
8,30,0.7618750840000897,0.305080301154791,0.8589055443460492,0.29089946853194715,0.030589550863068044,-0.04851523017297971,0.008653988498778473,0.0010371448447804511,0.025395836133336326,30.0,0
9,42,0.8496564785335713,0.2596026095241402,0.8496564785335713,0.2933672933911153,0.021686634427381495,0.0018892803776511162,0.011843256041852455,0.0007733862223012501,0.02022991615556122,42.0,0
11,46,0.9575242019269538,0.28249352643008957,0.9575242019269538,0.3009088822526034,0.02035213327758421,0.06282163033477682,0.019057703938599492,0.0005903416006395926,0.02081574352015117,46.0,0
12,28,0.348088932465196,0.09565138263765223,0.4525145103184461,0.139567850952644,0.012598983095318199,-0.028239293559057584,0.03943790474579196,0.0011336106067670834,0.012431747588042715,27.0,0
13,37,0.8391034018783772,0.30896635909710995,0.901466508832854,0.29417872643907644,0.025552548181049,0.02794042482204661,0.024731866201792768,0.000720212921291966,0.02267847032103722,37.0,0
15,36,0.8484634026087464,0.2984242377217866,0.8484634026087464,0.27844906108044665,0.02474613954387767,0.03134918837726907,0.015406139379694341,0.0007576702083440913,0.023568427850242955,36.0,0
16,39,0.8619536142777607,0.2705479976358176,0.8680953510084066,0.2944379630193894,0.023647430107875834,-0.003070868365322903,0.02513543804970743,0.0008076580624987877,0.022101374725070788,39.0,0
17,48,0.880299263439912,0.36286021081101794,0.9548011928173324,0.32463828193318206,0.02185929852532164,0.009286367615064647,0.005731019462014216,0.00032380838327438405,0.0183395679883315,48.0,0
19,60,0.8269870218442228,0.4402218554850608,0.9226550377956528,0.34541634523086634,0.018670732667789302,-0.035192953852249596,-0.011421082700391216,2.54837947405051e-06,0.013783117030737046,60.0,0
21,50,0.8663719647290736,0.3117397370263503,0.881584180386308,0.32436527856258174,0.020895135277840253,0.030351767962696775,-0.005241771507240883,0.00039532561015786344,0.017327439294581474,50.0,0
24,29,0.8588465288429213,0.2879660999959313,0.8588465288429213,0.2804594072865966,0.03034907172378014,0.06707294279913201,0.026392085297290892,0.001172923674046111,0.029615397546307633,29.0,0
25,13,0.1643783958545093,0.05180299430058256,0.1643783958545093,0.056011417732073424,0.009622184316894444,0.06773903449899495,0.027264564952613805,0.0007248536796321852,0.012644491988808407,12.0,0
26,40,0.8642267069810793,0.2906511421187647,0.8766168317304609,0.2961216768303513,0.023213740763500128,0.05113106857992756,0.027187417780199497,0.00073861354012465,0.02160566767452698,40.0,0
27,13,0.1217979939565528,0.01624001819150237,0.1301447953883907,0.07167767078309771,0.005205498368336853,0.05663354083662664,0.0055692466860091565,0.0012814304501449938,0.00936907645819637,12.0,0
29,35,0.826591689073482,0.32612266577499116,0.833773428500462,0.29284321178031997,0.02685851363679125,0.018965223989616694,0.02643279682333245,0.0006831713999732574,0.023616905402099486,35.0,0
30,39,0.8850316318971809,0.32222513654660634,0.8850316318971809,0.30031598984329166,0.02509390504857841,0.032408877975290254,0.025186951062719443,0.000508784398445092,0.022693118766594383,39.0,0
31,42,0.8533522060305646,0.30032300676155294,0.86431179281164,0.30318053375892196,0.023139049533567994,0.01105946546038674,0.037914212178724815,0.0005644193942858542,0.020317909667394395,42.0,0
32,43,0.943335259702729,0.3901939766633317,0.943335259702729,0.32537049899278897,0.025006748397696402,0.05668851306014986,0.018523865359102703,0.0001605245788298718,0.021938029295412304,43.0,0
33,42,0.7275483009171939,0.26891550893029526,0.8969770775936763,0.29687901859811744,0.022564388934168567,-0.06595615388814428,0.011416801816247702,0.0006045086567504118,0.01732257859326652,42.0,0
34,39,0.8958363101521483,0.240797288687274,0.8998639105634383,0.2952944119398967,0.022754782201256245,0.03142262644495681,0.013878537278058592,0.0010496543318914363,0.022970161798773033,39.0,0
